id,time,x,y,z
0,0,0.0,-0.0,0
1,0,0.0274835607857142,0.0289448456428571,0
2,0,0.0553429197857142,0.0575247642142857,0
3,0,0.0847243518571428,0.0845329473571428,0
4,0,0.1153774685714285,0.1100934402857142,0
5,0,0.1467633948571428,0.1347515600714285,0
6,0,0.1783946208571428,0.1590952442142857,0
7,0,0.2098043441428571,0.1837231502857142,0
8,0,0.2405291360714285,0.2091980603571428,0
9,0,0.2702016192857143,0.2358899251428571,0
10,0,0.2987311381428572,0.2638005243571428,0
11,0,0.3261639812142857,0.2927903857142857,0
12,0,0.352564778,0.3227236674285714,0
13,0,0.3780086443571428,0.3534750280714286,0
14,0,0.4026426676428571,0.3848796745,0
15,0,0.4267449898571428,0.4166949285,0
16,0,0.4506475736428572,0.4486607904285714,0
17,0,0.4746767465714286,0.480531447,0
18,0,0.4991305071428571,0.5120769864285715,0
19,0,0.5244891219285714,0.5428960089285714,0
20,0,0.5521811158571428,0.5716071412142857,0
21,0,0.584548045,0.5947877184285714,0
22,0,0.6222675097857142,0.6072557224999999,0
23,0,0.662027849,0.6067643045000001,0
24,0,0.7003815304285714,0.5960169764285714,0
25,0,0.7358261728571429,0.5777879044285715,0
26,1,0.0,-0.0,0
27,1,0.0260033849285714,0.0302815691428571,0
28,1,0.0527993085714285,0.0598523323571428,0
29,1,0.0825248577142857,0.0864578975714285,0
30,1,0.1147687353571428,0.1099631184285714,0
31,1,0.1486387662857143,0.1310704140714285,0
32,1,0.1834223264285714,0.1506440364285714,0
33,1,0.2185407626428571,0.1696135457857142,0
34,1,0.2534686421428571,0.1889298276428571,0
35,1,0.2876537618571428,0.2095257727142857,0
36,1,0.320581856,0.2320733855714285,0
37,1,0.3521959819285714,0.2564333601428571,0
38,1,0.382967891,0.2818534381428571,0
39,1,0.4135352880714286,0.3075201434285714,0
40,1,0.4445467500714286,0.3326462754285714,0
41,1,0.4763937325,0.3567042483571429,0
42,1,0.5086937292142857,0.3801532626428571,0
43,1,0.5405356085714286,0.4042163193571428,0
44,1,0.5708772543571429,0.4301338515,0
45,1,0.5986714223571428,0.458755537,0
46,1,0.6236025097857143,0.4899145563571428,0
47,1,0.6478470991428571,0.5216174536428572,0
48,1,0.676041601,0.5497329588571429,0
49,1,0.7117155617857144,0.5670449275714285,0
50,1,0.75136365,0.5692458321428572,0
51,1,0.7901407492857143,0.5601581015714286,0
52,2,0.0,-0.0,0
53,2,0.0298279008571428,0.026522232,0
54,2,0.0601864178571428,0.05243286,0
55,2,0.0915551535,0.0771101666428571,0
56,2,0.1237805334285714,0.1006568737857143,0
57,2,0.1571825834285714,0.1224965195714285,0
58,2,0.1919393259285714,0.1421053640714285,0
59,2,0.2279182013571428,0.1593731253571428,0
60,2,0.2647292354285714,0.1747976331428571,0
61,2,0.3018480136428571,0.1894721902142857,0
62,2,0.3387586437142857,0.2046587901428571,0
63,2,0.3750148981428571,0.2213424321428571,0
64,2,0.4104098125,0.2397817708571428,0
65,2,0.44480924,0.2600176225714286,0
66,2,0.4781752402857143,0.281916671,0
67,2,0.5104864171428571,0.3053441127857143,0
68,2,0.5416973081428572,0.3302199848571429,0
69,2,0.5720597786428572,0.3561272112142857,0
70,2,0.6021058438571429,0.3824022215,0
71,2,0.6327217115714285,0.4080081892142857,0
72,2,0.6643131292857143,0.4323989656428572,0
73,2,0.6968507837857143,0.4555131357142857,0
74,2,0.7301584507142858,0.4775047494285714,0
75,2,0.7640877135714286,0.4985245109285715,0
76,2,0.798633985,0.5185150984285715,0
77,2,0.8335157464285714,0.5379160990714286,0
78,3,0.0,-0.0,0
79,3,0.0289486297857142,0.0274795632857142,0
80,3,0.0586307429285714,0.0541512363571428,0
81,3,0.0910440422142857,0.077401363,0
82,3,0.1258779435714286,0.0968526007857143,0
83,3,0.1623662907142857,0.1130041011428571,0
84,3,0.1999130112142857,0.1265287182142857,0
85,3,0.2380907778571428,0.1381648995,0
86,3,0.2765993586428571,0.1486618776428571,0
87,3,0.3152235098571428,0.1587278242857142,0
88,3,0.3538278922142857,0.1688692089285714,0
89,3,0.3923532113571428,0.1793065437142857,0
90,3,0.4307580844285714,0.1901782307857142,0
91,3,0.4689979318571428,0.2016162522857142,0
92,3,0.507022103,0.2137513189285714,0
93,3,0.5447730437142857,0.2267106526428571,0
