b,Average_Uy,Efficiency(%)
0.5,0.0350550124,0.0097757483
1.0,0.0553810564,0.0455893388
1.5,0.0721874455,0.1086991575
2.0,0.0836925656,0.1836815335
2.5,0.0902125807,0.2537227021
3.0,0.0927010295,0.3081862925
3.5,0.0921802895,0.3430672828
4.0,0.0895457295,0.3589577679
4.5,0.0855170789,0.3588844401
5.0,0.0806471247,0.3467541695
5.5,0.0753469579,0.3264210534
6.0,0.0699132756,0.3012176334
6.5,0.0645513365,0.2737696782
7.0,0.0593953124,0.2459924459
7.5,0.054531378,0.2192196571
