b,Average_Uy,Efficiency(%)
0.5,0.0874048868,0.0615618903
1.0,0.0837622939,0.1058112488
1.5,0.0790009051,0.1346839511
2.0,0.0741177839,0.152609992
2.5,0.0694792597,0.1631375048
3.0,0.0652052499,0.1687245694
3.5,0.0613173532,0.171019562
4.0,0.0577979314,0.1711225384
4.5,0.0546151551,0.169771483
5.0,0.0517337625,0.1674652496
