b,Average_Uy,Efficiency(%)
0.5,0.1096786438,0.1028593679
1.0,0.1242563069,0.239174635
1.5,0.1320202572,0.3698371835
2.0,0.1327855992,0.4625026507
2.5,0.1283138471,0.5075832941
3.0,0.120524265,0.510997127
3.5,0.1109663677,0.4846533948
4.0,0.100760632,0.44068394
4.5,0.0906367679,0.3887802159
5.0,0.0810529386,0.3360356093
