b,Average_Uy,Efficiency(%)
0.5,0.0308007582,0.0073235995
1.0,0.0362152915,0.0192027355
1.5,0.0386398167,0.0315108242
2.0,0.0394300939,0.0424210664
2.5,0.0393121949,0.051426834
3.0,0.0386862193,0.0585712337
3.5,0.0377805802,0.0640875844
4.0,0.036729339,0.0682489938
4.5,0.0356126317,0.0713105807
5.0,0.0344787662,0.0734911732
5.5,0.0333567903,0.074971134
6.0,0.0322638765,0.0758961716
6.5,0.0312097786,0.0763828237
7.0,0.0301995794,0.0765238729
7.5,0.0292354148,0.0763930812
